iter	RMSE
0	0.9687775099
1	0.9390439794
2	0.910995361
3	0.8826022941
4	0.8548694403
5	0.8273594709
6	0.8017912756
7	0.7775081341
8	0.7560750987
9	0.73476301
10	0.7122344619
11	0.6921986242
12	0.6719026541
13	0.6527699512
14	0.6341213521
15	0.6172355444
16	0.6003754312
17	0.5835681121
18	0.5672493057
19	0.5532333329
20	0.5382540986
21	0.523916855
22	0.5104217693
23	0.4978891575
24	0.4858980944
25	0.4740865556
26	0.4628788252
27	0.4519641873
28	0.4412845172
29	0.4313348402
30	0.4217415011
31	0.4120548648
32	0.4024127137
33	0.3939918652
34	0.3859582986
35	0.3776064905
36	0.3702592858
37	0.3621498889
38	0.3552656508
39	0.3481566416
40	0.3412750617
41	0.3350645195
42	0.3287221929
43	0.3229524079
44	0.3173367664
45	0.3122774638
46	0.3070528101
47	0.3019304751
48	0.2975035962
49	0.2931976915
50	0.2893046277
51	0.2851306692
52	0.2813836167
53	0.2770339782
54	0.2728171119
55	0.2691140215
56	0.2660747612
57	0.2626417641
58	0.2592005759
59	0.256420081
60	0.2535191058
61	0.2506693711
62	0.2476546551
63	0.2448803977
64	0.2422070525
65	0.2396175208
66	0.2375671864
67	0.2353460207
68	0.2333120112
69	0.2315529272
70	0.2294355417
71	0.2272912238
72	0.2254680905
73	0.2234731932
74	0.2217433228
75	0.2199223324
76	0.2182364853
77	0.2166975765
78	0.2147260098
79	0.212975209
80	0.2114525119
81	0.2098242038
82	0.2085416676
83	0.2070695617
84	0.2055640476
85	0.2043347272
86	0.203083936
87	0.2015211269
88	0.2002053008
89	0.1988903908
90	0.1976772191
91	0.19652587
92	0.1953237153
93	0.1942875939
94	0.1931713218
95	0.1921020209
96	0.1912738781
97	0.1900967199
98	0.1890738511
99	0.1881529094
100	0.1874355077
101	0.1864704329
102	0.1853143891
103	0.1843633017
104	0.1834899353
105	0.1825187626
106	0.1817961286
107	0.1810582541
108	0.1803680868
109	0.1796286089
110	0.17895889
111	0.1780648613
112	0.1773770297
113	0.1765404773
114	0.1756463326
115	0.1749436005
116	0.1744485251
117	0.1736988002
118	0.173056598
119	0.1724410626
120	0.1719588673
121	0.171315153
122	0.1707408121
123	0.1701157009
124	0.1694309616
125	0.1689320729
126	0.1682464586
127	0.1676922386
128	0.167252134
129	0.1665337881
130	0.165961611
131	0.1654399561
132	0.1649108357
133	0.1642760095
134	0.1637064607
135	0.1631246966
136	0.1626457276
137	0.1619545832
138	0.1613290993
139	0.1608882207
140	0.1605807515
141	0.1600772531
142	0.1595409676
143	0.1591611911
144	0.1586244099
145	0.1580907525
146	0.1576030779
147	0.1569563185
148	0.1564135697
149	0.1557393322
150	0.1551606893
151	0.1548106524
152	0.1543037443
153	0.153820815
154	0.1534384663
155	0.1528252405
156	0.1522229123
157	0.1516273786
158	0.1511859934
159	0.1506178438
160	0.1501792808
161	0.1496562921
162	0.1491103545
163	0.1485753523
164	0.1480111099
165	0.1476333388
166	0.1471704776
167	0.1465959391
168	0.1461574831
169	0.1456417048
170	0.1452602391
171	0.1448924953
172	0.1443550175
173	0.1437606409
174	0.1434042157
175	0.1429893797
176	0.1424811618
177	0.1419989522
178	0.1414682834
179	0.1409976516
180	0.1405118439
181	0.1401015703
182	0.1395333292
183	0.1390692497
184	0.1386055128
185	0.1381783676
186	0.1377272372
187	0.1371719139
188	0.1366278579
189	0.1362249944
190	0.1358271146
191	0.1354104247
192	0.1350402777
193	0.13475166
194	0.1344136399
195	0.1338804437
196	0.1335559879
197	0.1331966509
198	0.132704201
199	0.1323621984
200	0.1319841015
201	0.1314025442
202	0.1308121249
203	0.1303343018
204	0.1298621608
205	0.1294738615
206	0.1289925773
207	0.1286352239
208	0.1280505431
209	0.1277506896
210	0.1273872284
211	0.1269500526
212	0.1265647558
213	0.1260307016
214	0.1256068334
215	0.1252354987
216	0.1248086182
217	0.1244755818
218	0.124100045
219	0.1237429836
220	0.1232148905
221	0.122961537
222	0.122598569
223	0.1222703078
224	0.1219770335
225	0.1216512981
226	0.1213591507
227	0.1210443696
228	0.1206706235
229	0.1202041232
230	0.1199743493
231	0.1197249635
232	0.1193490957
233	0.1189966836
234	0.1186682294
235	0.1184127559
236	0.1180784633
237	0.1178764768
238	0.1173228721
239	0.1168898581
240	0.1165552644
241	0.116126385
242	0.1158062387
243	0.1154684099
244	0.1152127149
245	0.1149861918
246	0.1146730713
247	0.1142403568
248	0.1137246492
249	0.1134287198
250	0.1131153434
251	0.1126527259
252	0.1122467682
253	0.1119351675
254	0.1114548858
255	0.1111107723
256	0.1106672202
257	0.1103020825
258	0.1097896296
259	0.1096016934
260	0.1092712065
261	0.1089735607
262	0.108358712
263	0.1079771358
264	0.107710081
265	0.107501657
266	0.1071548758
267	0.1068651696
268	0.1064623783
269	0.1061118726
270	0.1057786444
271	0.1053808277
272	0.1050316209
273	0.1045564637
274	0.1042395123
275	0.1037782257
276	0.1035311733
277	0.1032604048
278	0.1029748757
279	0.1025655983
280	0.1021706122
281	0.10171287
282	0.1013949409
283	0.1011096124
284	0.1006915437
285	0.1003409564
286	0.1000966772
287	0.1000348006
288	0.09969638009
289	0.09940305957
290	0.09911177951
291	0.09861187455
292	0.09855403922
293	0.09817908756
294	0.09779242177
295	0.09748230224
296	0.09725609344
297	0.09693990132
298	0.0966806921
299	0.09643895738
300	0.09614947198
301	0.09588604063
302	0.09552891766
303	0.09512821431
304	0.0948383352
305	0.09456191323
306	0.09444627434
307	0.09422503525
308	0.09393136001
309	0.09359641957
310	0.09333188946
311	0.09295784275
312	0.09267129832
313	0.09241781244
314	0.0920451611
315	0.09177175908
316	0.09157836037
317	0.09133343452
318	0.09106616202
319	0.09080824482
320	0.09053091338
321	0.09037790028
322	0.09003287158
323	0.08984153105
324	0.08944456783
325	0.08922047378
326	0.08898297272
327	0.08876336708
328	0.08856222674
329	0.08827487388
330	0.08798202662
331	0.08770759456
332	0.0874484766
333	0.0871581844
334	0.08683679801
335	0.08662027159
336	0.08640623255
337	0.08637280921
338	0.08602685552
339	0.08573681685
340	0.08570776823
341	0.08538432966
342	0.08521160805
343	0.08476275495
344	0.08452117721
345	0.08424122867
346	0.0840296226
347	0.08385556586
348	0.08351235851
349	0.0832920957
350	0.08303223798
351	0.08280917008
352	0.08253603395
353	0.08239565555
354	0.08225793259
355	0.08187665642
356	0.08166631132
357	0.08155297363
358	0.0813682761
359	0.08128053392
360	0.08103798856
361	0.0809012579
362	0.08059213286
363	0.08034015871
364	0.08014228234
365	0.08000130881
366	0.07982716641
367	0.0796251171
368	0.07942090245
369	0.07910785331
370	0.07892438467
371	0.07871469801
372	0.07852839731
373	0.07819991971
374	0.07799670166
375	0.07780724721
376	0.07753299958
377	0.07728184447
378	0.07713611105
379	0.07694058121
380	0.07673505841
381	0.07669465969
382	0.07649594371
383	0.07645231887
384	0.07625410155
385	0.07596905434
386	0.07566488457
387	0.07537460137
388	0.07509951843
389	0.07494051304
390	0.07471686716
391	0.07465269413
392	0.07446335398
393	0.0742830156
394	0.07417233528
395	0.07391297921
396	0.07376208476
397	0.07356735464
398	0.07334211853
399	0.07320111025
400	0.07300371301
401	0.07283958407
402	0.07264482703
403	0.07243460363
404	0.07239370673
405	0.07226134758
406	0.07211649146
407	0.07209150635
408	0.07201153464
409	0.07188282854
410	0.07167600184
411	0.07141658354
412	0.07115369819
413	0.07093099435
414	0.07069304601
415	0.07061603352
416	0.0705599242
417	0.0705253069
418	0.07038238609
419	0.07033613118
420	0.0703109819
421	0.07021756147
422	0.07002082895
423	0.06986780623
424	0.06967390129
425	0.06948657991
426	0.06946354378
427	0.06925743974
428	0.06910587089
429	0.06894119974
430	0.06876154583
431	0.06857059245
432	0.0684220641
433	0.0680968232
434	0.06786567535
435	0.06772782922
436	0.06763852016
437	0.06750215867
438	0.06735882818
439	0.06723793351
440	0.06711649224
441	0.06687524942
442	0.06672440946
443	0.06669663638
444	0.06666768264
445	0.06644076737
446	0.06627706992
447	0.06617310836
448	0.06597337329
449	0.06593818204
450	0.06579433505
451	0.06558319453
452	0.06543294767
453	0.06524680476
454	0.06510608307
455	0.06496977205
456	0.06471432643
457	0.06465231067
458	0.0644542859
459	0.06440663293
460	0.06427737565
461	0.06419175071
462	0.06402986023
463	0.06387617152
464	0.06376950031
465	0.06363285228
466	0.06357032196
467	0.06355745146
468	0.06349020412
469	0.06340361205
470	0.06324947889
471	0.06303948436
472	0.06294102862
473	0.06274076905
474	0.06262708695
475	0.06242186809
476	0.06235405427
477	0.06216557511
478	0.06212409765
479	0.06209892814
480	0.06190886408
481	0.06173386189
482	0.06167464205
483	0.06159466766
484	0.06142342252
485	0.06140403472
486	0.06123981966
487	0.06114811874
488	0.06100998157
489	0.06085242497
490	0.06065428124
491	0.06051607163
492	0.06041251597
493	0.06020699641
494	0.06000447536
495	0.05994587897
496	0.05985634553
497	0.05974994491
498	0.0596707981
499	0.05956598963
500	0.05946628001
501	0.05929963536
502	0.05922572
503	0.05912082993
504	0.05893776656
505	0.05891252694
506	0.05875344599
507	0.05860109499
508	0.05837707397
509	0.05820498536
510	0.05803849104
511	0.05789992654
512	0.05782458901
513	0.05769530888
514	0.05751691531
515	0.057352467
516	0.0571983194
517	0.05717060038
518	0.05702866064
519	0.05687309184
520	0.05672837392
521	0.0565295488
522	0.05640209263
523	0.05631500865
524	0.05618583075
525	0.0560817823
526	0.05601437095
527	0.05589532583
528	0.05574203577
529	0.05562591373
530	0.05551213511
531	0.05535312054
532	0.05522169486
533	0.05505389322
534	0.05495982942
535	0.05484288936
536	0.0547797397
537	0.05458561511
538	0.0544562918
539	0.05429342955
540	0.05426173614
541	0.05418085878
542	0.05403204259
543	0.05389869314
544	0.05372821978
545	0.0535875001
546	0.05356835847
547	0.05347708731
548	0.05333822429
549	0.05325820133
550	0.05316685913
551	0.05314343383
552	0.05299829495
553	0.0528340412
554	0.05276315925
555	0.05273327152
556	0.05258303473
557	0.05243830303
558	0.05234676628
559	0.05225381444
560	0.05216839939
561	0.05204992773
562	0.05201203507
563	0.05189644914
564	0.05178415193
565	0.05166794615
566	0.05163087098
567	0.05153672514
568	0.05147796054
569	0.05130076385
570	0.05119138756
571	0.05106565304
572	0.05098369155
573	0.050896602
574	0.05078401519
575	0.05070326622
576	0.05059919785
577	0.05046640687
578	0.05029078617
579	0.05015478192
580	0.05003836289
581	0.05002143806
582	0.04999083172
583	0.04984876794
584	0.04977221145
585	0.04960696225
586	0.04945155774
587	0.04941544322
588	0.04927622654
589	0.04919571117
590	0.04909281167
591	0.04898061409
592	0.04886474593
593	0.04872966016
594	0.04859007026
595	0.0484915602
596	0.04837376396
597	0.04829428108
598	0.04817278211
599	0.0480902789
600	0.0479979346
601	0.04792427715
602	0.04790796314
603	0.04782896309
604	0.04774910298
605	0.04769132854
606	0.047574521
607	0.04748161909
608	0.0473950799
609	0.047303127
610	0.04722102931
611	0.04713436353
612	0.04701209064
613	0.04691285468
614	0.0468077705
615	0.04677589065
616	0.04671429478
617	0.04669459942
618	0.04665105129
619	0.046638308
620	0.04654944108
621	0.04644477131
622	0.04633248995
623	0.04623977344
624	0.04615697755
625	0.04610989694
626	0.04603481026
627	0.04591975725
628	0.04580394093
629	0.04572089956
630	0.04563915877
631	0.04553831369
632	0.04552271463
633	0.04546583221
634	0.04538876473
635	0.04530080925
636	0.0452113919
637	0.04512089512
638	0.04506118857
