iter	Passed	Remaining
0	6	6244
1	8	4432
2	11	3849
3	15	3859
4	20	3984
5	24	4065
6	27	3932
7	31	3862
8	34	3775
9	37	3729
10	41	3775
11	46	3817
12	49	3790
13	53	3744
14	55	3676
15	59	3672
16	64	3715
17	69	3780
18	72	3739
19	75	3692
20	78	3648
21	82	3666
22	85	3641
23	89	3622
24	92	3598
25	95	3579
26	100	3621
27	105	3654
28	109	3658
29	112	3634
30	116	3633
31	118	3587
32	120	3538
33	124	3530
34	127	3517
35	130	3506
36	134	3494
37	136	3454
38	139	3443
39	142	3418
40	145	3397
41	148	3379
42	150	3349
43	153	3333
44	156	3325
45	159	3297
46	161	3280
47	164	3265
48	167	3241
49	170	3230
50	172	3217
51	175	3195
52	178	3187
53	181	3172
54	183	3150
55	186	3149
56	189	3134
57	196	3188
58	200	3191
59	203	3189
60	205	3171
61	209	3169
62	213	3179
63	217	3184
64	220	3172
65	222	3154
66	226	3149
67	229	3139
68	231	3130
69	235	3122
70	237	3107
71	239	3091
72	242	3081
73	245	3068
74	247	3054
75	251	3052
76	253	3037
77	256	3026
78	260	3032
79	262	3020
80	265	3010
81	268	3000
82	271	2995
83	274	2992
84	276	2979
85	280	2977
86	283	2975
87	285	2961
88	288	2948
89	290	2942
90	293	2932
91	296	2925
92	299	2919
93	301	2909
94	304	2903
95	306	2889
96	309	2878
97	312	2874
98	315	2867
99	317	2858
100	320	2852
101	322	2840
102	325	2830
103	328	2826
104	330	2820
105	333	2814
106	337	2813
107	340	2811
108	343	2805
109	346	2802
110	349	2798
111	352	2794
112	355	2787
113	357	2779
114	359	2768
115	363	2767
116	365	2759
117	368	2752
118	371	2748
119	374	2745
120	377	2742
121	379	2732
122	381	2722
123	384	2717
124	387	2709
125	391	2714
126	394	2713
127	397	2709
128	401	2713
129	404	2710
130	408	2707
131	411	2708
132	415	2711
133	418	2703
134	421	2699
135	424	2697
136	427	2691
137	429	2685
138	433	2682
139	435	2676
140	437	2667
141	440	2661
142	443	2656
143	446	2652
144	449	2648
145	451	2642
146	455	2640
147	458	2636
148	460	2631
149	463	2627
150	466	2624
151	468	2614
152	472	2614
153	474	2607
154	477	2601
155	479	2596
156	482	2589
157	484	2581
158	487	2579
159	490	2574
160	493	2569
161	496	2565
162	498	2557
163	500	2553
164	504	2552
165	506	2544
166	508	2537
167	511	2534
168	513	2527
169	515	2518
170	519	2518
171	521	2510
172	523	2503
173	526	2497
174	529	2495
175	531	2489
176	534	2485
177	536	2477
178	538	2470
179	541	2467
180	543	2459
181	546	2454
182	548	2450
183	551	2446
184	553	2437
185	555	2431
186	558	2427
187	560	2421
188	563	2417
189	566	2414
190	568	2407
191	570	2401
192	572	2394
193	575	2388
194	578	2386
195	580	2379
196	583	2378
197	586	2376
198	589	2372
199	592	2370
200	595	2367
201	599	2366
202	601	2362
203	605	2362
204	608	2358
205	610	2354
206	614	2352
207	617	2350
208	619	2344
209	622	2343
210	625	2338
211	627	2333
212	630	2329
213	633	2326
214	635	2318
215	638	2318
216	641	2314
217	643	2309
218	646	2305
219	648	2299
220	651	2295
221	654	2294
222	657	2291
223	659	2286
224	662	2282
225	665	2277
226	667	2274
227	670	2270
228	672	2265
229	674	2258
230	677	2255
231	680	2251
232	682	2247
233	686	2246
234	688	2242
235	690	2236
236	693	2231
237	695	2228
238	698	2223
239	701	2220
240	704	2217
241	706	2213
242	709	2211
243	711	2205
244	713	2199
245	716	2197
246	719	2192
247	721	2187
248	724	2184
249	726	2179
250	728	2174
251	731	2171
252	734	2168
253	736	2162
254	739	2159
255	741	2155
256	744	2151
257	746	2146
258	749	2144
259	751	2138
260	754	2135
261	756	2131
262	759	2128
263	761	2124
264	764	2120
265	767	2116
266	769	2113
267	772	2111
268	776	2111
269	780	2109
270	787	2117
271	795	2128
272	799	2128
273	801	2123
274	804	2119
275	806	2115
276	808	2109
277	810	2104
278	813	2101
279	815	2097
280	818	2093
281	820	2088
282	822	2083
283	825	2081
284	827	2077
285	829	2071
286	831	2066
287	834	2062
288	836	2058
289	838	2054
290	841	2049
291	844	2047
292	846	2043
293	849	2039
294	851	2035
295	854	2032
296	857	2028
297	859	2024
298	861	2019
299	863	2015
300	866	2012
301	868	2008
302	870	2003
303	872	1998
304	875	1995
305	877	1990
306	880	1987
307	882	1983
308	885	1980
309	887	1976
310	890	1973
311	893	1969
312	894	1964
313	897	1960
314	899	1956
315	901	1952
316	904	1948
317	906	1945
318	909	1941
319	911	1937
320	914	1935
321	916	1930
322	919	1926
323	921	1923
324	924	1919
325	926	1916
326	929	1913
327	931	1909
328	934	1905
329	936	1900
330	939	1899
331	941	1895
332	944	1891
333	946	1888
334	949	1883
335	951	1879
336	954	1877
337	956	1873
338	958	1868
339	960	1865
340	963	1861
341	965	1858
342	969	1857
343	973	1856
344	977	1854
345	980	1852
346	983	1851
347	986	1849
348	989	1846
349	993	1845
350	996	1843
351	999	1839
352	1001	1836
353	1003	1831
354	1006	1828
355	1009	1825
356	1011	1821
357	1013	1816
358	1016	1814
359	1018	1810
360	1020	1805
361	1022	1802
362	1025	1798
363	1026	1794
364	1029	1791
365	1032	1788
366	1034	1784
367	1036	1780
368	1039	1776
369	1041	1773
370	1044	1770
371	1047	1767
372	1049	1765
373	1052	1761
374	1054	1758
375	1056	1753
376	1059	1750
377	1062	1749
378	1066	1746
379	1068	1743
380	1072	1741
381	1075	1739
382	1077	1735
383	1080	1733
384	1082	1729
385	1084	1725
386	1088	1723
387	1090	1720
388	1092	1716
389	1095	1713
390	1097	1709
391	1099	1705
392	1102	1703
393	1106	1701
394	1108	1697
395	1111	1695
396	1113	1691
397	1115	1687
398	1118	1684
399	1120	1681
400	1122	1677
401	1125	1674
402	1127	1670
403	1129	1665
404	1131	1662
405	1134	1660
406	1136	1656
407	1139	1653
408	1141	1649
409	1143	1645
410	1146	1643
411	1149	1640
412	1151	1636
413	1154	1633
414	1156	1630
415	1159	1627
416	1163	1626
417	1166	1623
418	1168	1620
419	1171	1618
420	1174	1615
421	1177	1612
422	1180	1610
423	1183	1607
424	1185	1604
425	1188	1601
426	1191	1599
427	1194	1596
428	1197	1593
429	1199	1590
430	1201	1586
431	1204	1583
432	1206	1579
433	1209	1577
434	1211	1573
435	1214	1570
436	1216	1567
437	1219	1564
438	1222	1562
439	1224	1558
440	1226	1554
441	1229	1552
