bmg_alloy,paper_sno,actual_d_max
Ti7.0Cu60.0Zr33.0,"[1, 5, 6, 7, 9]",3
Ti7.0Cu54.0Zr33.0Ag6.0,"[1, 5, 6, 7, 9]",6
Ti7.0Cu46.4Zr35.0Ag11.6,"[1, 5, 6, 7, 9]",6
Ti6.0Cu44.2Zr35.0Ag14.7,"[1, 6]",8
Ti5.0Cu44.2Zr36.0Ag14.7,"[1, 6]",10
Ti10.0Cu60.0Zr30.0,"[1, 5, 6, 7, 9]",4
Ti15.0Cu60.0Hf25.0,"[1, 5, 6, 7]",4
Ti10.0Cu55.0Zr30.0Ag5.0,"[1, 5, 6, 7, 9]",3
Ti10.0Cu50.0Zr30.0Ag10.0,"[1, 5, 6, 7, 9]",4
Ti10.0Cu45.0Zr30.0Ag15.0,"[1, 5, 6, 7, 9]",5
Ti10.0Cu40.0Zr30.0Ag20.0,"[1, 5, 6, 7, 9]",3
Ti10.0Cu35.0Zr30.0Ag25.0,"[1, 5, 6, 7, 9]",2
Ti10.0Ni5.0Cu45.0Zr30.0Ag10.0,"[1, 5, 6, 7, 9]",5
Ti20.0Cu60.0Hf20.0,"[1, 5, 6, 7, 9]",4
Ti22.5Cu60.0Hf17.5,"[1, 5, 6, 7, 9]",3
Al8.0Cu40.0Zr44.0Ag8.0,"[1, 5, 6, 7, 9]",15
Al4.0Cu46.0Zr46.0Ag4.0,"[1, 6]",7
Al4.0Cu47.0Zr45.0Ag4.0,"[1, 6]",10
Al4.0Cu48.0Zr44.0Ag4.0,"[1, 6]",10
Al4.0Cu49.0Zr43.0Ag4.0,"[1, 6]",10
Al4.0Cu50.0Zr42.0Ag4.0,"[1, 6]",9
Al6.0Cu48.0Zr42.0Ag4.0,"[1, 6]",12
Al6.0Cu48.0Zr44.0Ag2.0,"[1, 6]",12
Al5.0Cu47.0Zr45.0Ag3.0,"[1, 6]",15
Al6.0Cu50.0Zr42.0Ag2.0,"[1, 6]",9
Al4.0Cu46.0Zr44.0Ag6.0,"[1, 6]",11
Al6.0Cu46.0Zr44.0Ag4.0,"[1, 6]",11
Al6.0Cu44.0Zr44.0Ag6.0,"[1, 5, 6, 7]",10
Al10.0Cu40.0Zr40.0Ag10.0,"[1, 5, 6, 7, 9]",3
Ti7.0Cu43.0Zr43.0Ag7.0,"[1, 5, 6, 7, 9]",5
Cu43.0Zr43.0Ag7.0In7.0,"[1, 5, 6, 7, 9]",5
Ti10.0Cu43.0Zr40.0Ag7.0,"[1, 5, 6, 7, 9]",7
Cu64.0Zr36.0,"[1, 5, 6, 7, 9]",2
Al7.0Cu47.0Zr43.0Ag3.0,"[1, 5, 6, 7, 9]",5
Be3.0Al7.0Cu47.0Zr43.0,"[1, 5, 6, 7]",6
Al7.0Cu43.0Zr43.0Ag7.0,"[1, 5, 6, 7]",8
Be7.0Al7.0Cu43.0Zr43.0,"[1, 5, 6, 7, 9]",12
Cu50.0Zr50.0,"[1, 5, 6, 7, 9]",2
Cu48.0Zr48.0Ag4.0,"[1, 5, 6, 7, 9]",3
Cu46.0Zr46.0Ag8.0,"[1, 5, 6, 7, 9]",4
Cu45.0Zr45.0Ag10.0,"[1, 5, 6, 7, 9]",6
Cu44.0Zr44.0Ag12.0,"[1, 5, 6, 7, 9]",4
Cu42.0Zr42.0Ag16.0,"[1, 5, 6, 7, 9]",2
Al3.0Cu45.0Zr45.0Ag7.0,"[1, 5, 6, 7]",7
Al5.0Cu45.0Zr45.0Ag5.0,"[1, 5, 6, 7]",9
Al7.0Cu45.0Zr45.0Ag3.0,"[1, 5, 6, 7, 9]",8
Cu45.0Zr35.0Ag10.0Hf10.0,"[1, 5, 6, 7, 9]",4
Cu45.0Zr25.0Ag10.0Hf20.0,"[1, 5, 6, 7, 9]",3
Cu45.0Zr15.0Ag10.0Hf30.0,"[1, 5, 6, 7, 9]",2
Cu45.0Zr5.0Ag10.0Hf40.0,"[1, 6]",2
Al8.0Cu34.0Zr48.0Pd2.0Ag8.0,"[1, 5, 6, 7, 9]",30
Al8.0Cu28.0Zr48.0Pd8.0Ag8.0,"[1, 6]",15
Al8.0Cu26.0Zr48.0Pd10.0Ag8.0,"[1, 6]",15
Al7.5Cu50.0Hf42.5,"[1, 6]",7
Al7.0Cu46.0Y2.0Zr45.0,"[1, 5, 6, 7]",8
Al7.0Cu46.0Y5.0Zr42.0,"[1, 5, 6, 7]",10
Al7.0Cu45.0Zr48.0,"[1, 5, 6, 7]",5
Si1.0Ti33.0Ni8.0Cu47.0Zr11.0,"[1, 5, 9, 6]",4
Si1.0Ti33.0Ni8.0Cu47.0Zr9.0Nb2.0,"[1, 5, 9, 6]",5
Si1.0Ti33.0Ni8.0Cu47.0Zr7.0Nb4.0,"[1, 5, 9, 6]",5
Si1.0Ti33.0Ni8.0Cu47.0Zr5.0Nb6.0,"[1, 5, 9, 6]",2
Si1.0Ti33.0Ni8.0Cu47.0Zr3.0Nb8.0,"[1, 5, 9, 6]",1
Si1.0Ti33.0Ni8.0Cu47.0Nb11.0,"[1, 6]",0.5
Cu57.0Zr36.0Ag7.0,"[1, 5, 6, 7, 9]",4
Ti5.0Cu54.0Zr36.0Ag10.0,"[1, 6]",6
Ti5.0Cu49.0Zr36.0Ag10.0,"[1, 5, 6, 7, 9]",8
Ti7.5Cu50.0Zr42.5,"[1, 5, 6, 7, 9]",5
