bmg_alloy,paper_sno,actual_d_max
B6.0Cr16.0Fe78.0,[9],0
B22.3Fe66.9Mo3.72Dy7.0,[9],2
Mg11.0Ca55.0Cu23.0Zn11.0,"[5, 7]",1
Mg84.5Mn8.0Y7.5,[9],0
Al95.0Co3.0Ce2.0,[9],0
Ti85.0Ni15.0,[9],0
Al10.0Co1.0Cu20.0Ce69.0,"[1, 5, 6, 7]",10
Mg59.5Cu22.9Ag6.6Gd11.0,"[9, 5, 7]",27
B6.0Mn1.0Fe93.0,[9],0
Ti50.0Ni15.0Cu32.0Sn3.0,"[9, 5, 7]",1
B22.0Fe68.0Y6.0Mo4.0,"[1, 2, 5, 6, 9]",6.5
Al59.0Si22.0Cr19.0,[9],0
B5.0C10.0P10.0Fe75.0,[2],0.5
Be20.0Ti40.0Ni5.0Cu10.0Zr25.0,[5],10
B13.5Si10.0Fe61.5Co10.0Cu1.0Nb4.0,[2],1.5
Al24.0Co20.0Y21.0Ho35.0,"[9, 5, 7]",5
B15.0Fe61.0Co7.0Y2.0Zr8.0Mo7.0,"[1, 2, 5, 6, 9]",5
B5.0C5.0Ni90.0,[9],0
B6.0C15.0Fe64.5Mo14.0Er0.5,[2],2.5
Cu24.0Ga6.0Ce70.0,"[1, 6]",10
Si1.0Ti33.0Ni8.0Cu47.0Zr9.0Nb2.0,"[1, 5, 9, 6]",5
B10.0C15.0Cr7.5Fe52.5Mo15.0,[2],2
Ti40.0Cu28.0Ga8.0Zr10.0Pd14.0,"[1, 6]",2
Al4.0V0.5Cu47.5Zr48.0,"[1, 6]",2
Si5.0Ti45.0Ni50.0,[9],0
C7.0P13.0Fe68.0Mo12.0,[2],1
B4.0Cr16.0Fe80.0,[9],0
B14.2Si2.75P2.75Fe39.0Ni39.0Nb2.3,[2],2
B22.0Cr6.0Fe62.0Y6.0Nb4.0,[2],4
Mg17.5Ca60.0Zn22.5,"[9, 5, 7]",10
Al14.0Co4.0Ni4.0Cu13.3Ag2.67La62.0,[7],16
Al10.0Fe5.0Cu23.0Zr62.0,"[1, 7, 9, 6]",3
C7.0P13.0Fe60.0Co20.0,[2],1.8
Al10.0Cu84.0Nd6.0,[9],0
B8.0Fe89.0Cu3.0,[9],0
Al10.0Ni10.0Cu20.0Pr60.0,"[9, 5, 7]",5
B22.0Fe71.0Y6.0Mo1.0,"[1, 2, 5, 6, 9]",2.5
B18.0Fe72.0Cu10.0,[9],0
Al7.0Cu42.0Zr48.0Ag3.0,"[1, 5, 6, 7, 9]",10
Al8.0Cu82.0Nd10.0,[9],0
Mg15.4Ca30.7Cu7.7Ag46.2,[7],1
Mg65.0Ni5.0Cu20.0Gd10.0,"[1, 5, 6, 7, 9]",5
Si2.0Ti11.0Ni59.0Zr17.0Nb8.0Sn3.0,[5],2
Ti40.0Cu32.0Ga4.0Zr10.0Pd14.0,"[1, 6]",3
B4.0V5.0Fe91.0,[9],0
Al14.0Cu20.0Ag4.0La62.0,"[1, 5, 6, 7, 9]",8
B6.0C15.0Cr15.0Fe38.4Co9.6Mo14.0Tm2.0,[2],16
B12.5Si10.0Fe72.5Cu1.0Nb4.0,[2],0.5
B5.0C10.0P10.0Fe62.5Co5.0Mo7.5,[2],4
Al15.0Ni17.5Cu15.5Zr48.0Nb4.0,"[1, 6]",6
B5.0C20.0Cr16.0Fe43.0Mo16.0,[2],1.6
P16.0Ni83.0Cu1.0,[9],0
Fe50.0Ag50.0,[9],0
Al23.5Co16.5Zr53.0Ag7.0,"[1, 6]",5
B8.0Fe87.0Cu5.0,[9],0
Al16.0Co32.0Zr52.0,"[1, 6]",3
Al75.0Ni10.0La15.0,[9],0
Al50.0Ni40.0Zr10.0,[9],0
B10.0Cr20.0Fe70.0,[9],0
Ni50.0Nd50.0,[9],0
Al10.0Cu36.0Zr48.0Ag6.0,"[1, 6]",7
Ti13.8Cu55.2Nb8.0Hf23.0,[7],2.5
P17.0Co9.0Ni74.0,[9],0
Ti7.42Cu49.5Zr42.0Sn1.0,[7],6
Al17.5Ni12.4Cu12.4La57.6,[7],8
